"campaign","group","year","season","unit","subunit","site","factor","proximity","habitat","lon","lat","date","effort_time","datetime","species_latin","rad1","rad2","rad3","rad4","total","comments"
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Streptopelia decaocto",3,4,5,0,12,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Stigmatopelia senegalensis",1,0,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Bubulcus ibis",0,0,0,1,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Pycnonotus xanthopygos",0,3,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Parus major",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Sylvia melanocephala",2,5,2,0,9,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Turdus merula",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Passer domesticus",1,2,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.22773,32.99916,2012-06-08,"10 min",NA,"Carduelis carduelis",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Turdus merula",0,2,1,0,3,NA
